Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Charlie,2013-03-20 5:17:53,0:00:05,,Star Trek: Deep Space Nine: Season 5: Empok Nor (Episode 24),,Mac,0:00:05,Not latest view,US (United States)
Charlie,2013-03-20 4:27:45,0:44:31,,Star Trek: Deep Space Nine: Season 5: Blaze of Glory (Episode 23),,Mac,0:44:31,Not latest view,US (United States)
Charlie,2013-03-20 4:05:21,0:22:06,,Star Trek: Deep Space Nine: Season 5: Children of Time (Episode 22),,Mac,0:44:37,0:44:37,US (United States)
Charlie,2013-03-20 0:20:03,0:48:14,,The Invisible War,,Microsoft Xbox 360,0:53:18,0:53:18,US (United States)
Charlie,2013-03-20 0:10:31,0:04:51,,The Invisible War,,Mac,0:05:01,Not latest view,US (United States)
Charlie,2013-03-19 22:34:08,0:22:29,,Star Trek: Deep Space Nine: Season 5: Children of Time (Episode 22),,Mac,0:22:31,Not latest view,US (United States)
Charlie,2013-03-19 5:07:46,0:33:10,,Star Trek: Deep Space Nine: Season 5: Soldiers of the Empire (Episode 21),,Mac,0:44:42,0:44:42,US (United States)
Charlie,2013-03-18 23:57:53,0:11:36,,Star Trek: Deep Space Nine: Season 5: Soldiers of the Empire (Episode 21),,Mac,0:11:36,Not latest view,US (United States)
Charlie,2013-03-18 23:26:15,0:31:32,,Star Trek: Deep Space Nine: Season 5: Ferengi Love Songs (Episode 20),,Mac,0:44:30,0:44:30,US (United States)
Charlie,2013-03-18 23:25:36,0:00:02,,The Office (U.S.): Season 5: The Duel (Episode 12),,Mac,0:00:01,Not latest view,US (United States)
Charlie,2013-03-18 23:04:22,0:21:07,,The Office (U.S.): Season 5: Moroccan Christmas (Episode 11),,Mac,0:21:06,Not latest view,US (United States)
Charlie,2013-03-18 22:42:50,0:21:30,,The Office (U.S.): Season 5: The Surplus (Episode 10),,Mac,0:21:29,Not latest view,US (United States)
Charlie,2013-03-18 22:21:52,0:20:55,,The Office (U.S.): Season 5: Frame Toby (Episode 9),,Mac,0:20:55,Not latest view,US (United States)
Charlie,2013-03-18 22:20:53,0:00:55,,The Office (U.S.): Season 5: Business Trip (Episode 8),,Mac,0:21:09,Not latest view,US (United States)
Charlie,2013-03-18 20:29:22,0:20:15,,The Office (U.S.): Season 5: Business Trip (Episode 8),,Mac,0:20:17,Not latest view,US (United States)
Charlie,2013-03-18 20:07:57,0:21:21,,The Office (U.S.): Season 5: Customer Survey (Episode 7),,Mac,0:21:23,Not latest view,US (United States)
Charlie,2013-03-18 19:46:38,0:21:14,,The Office (U.S.): Season 5: Employee Transfer (Episode 6),,Mac,0:21:15,Not latest view,US (United States)
Charlie,2013-03-18 19:24:10,0:21:34,,The Office (U.S.): Season 5: Crime Aid (Episode 5),,Mac,0:21:36,Not latest view,US (United States)
Charlie,2013-03-18 18:20:16,0:21:12,,The Office (U.S.): Season 5: Baby Shower (Episode 4),,Mac,0:21:14,Not latest view,US (United States)
Charlie,2013-03-18 17:54:26,0:21:15,,The Office (U.S.): Season 5: Business Ethics (Episode 3),,Mac,0:21:16,Not latest view,US (United States)
Charlie,2013-03-18 17:36:27,0:15:50,,The Office (U.S.): Season 5: Weight Loss: Part 2 (Episode 2),,Mac,0:21:06,Not latest view,US (United States)
Charlie,2013-03-18 5:35:10,0:05:20,,The Office (U.S.): Season 5: Weight Loss: Part 2 (Episode 2),,Mac,0:05:20,Not latest view,US (United States)
Charlie,2013-03-18 5:00:02,0:21:02,,The Office (U.S.): Season 5: Weight Loss: Part 1 (Episode 1),,Mac,0:21:03,Not latest view,US (United States)
Charlie,2013-03-18 4:27:20,0:32:37,,"The Office (U.S.): Season 4: Goodbye, Toby (Episode 14)",,Mac,0:41:27,Not latest view,US (United States)
Charlie,2013-03-17 5:40:18,0:08:52,,"The Office (U.S.): Season 4: Goodbye, Toby (Episode 14)",,Mac,0:08:52,Not latest view,US (United States)
Charlie,2013-03-17 5:10:14,0:20:18,,The Office (U.S.): Season 4: Job Fair (Episode 13),,Mac,0:20:20,Not latest view,US (United States)
Charlie,2013-03-17 4:48:28,0:21:41,,The Office (U.S.): Season 4: Did I Stutter (Episode 12),,Mac,0:21:42,Not latest view,US (United States)
Charlie,2013-03-17 4:31:32,0:15:51,,The Office (U.S.): Season 4: Night Out (Episode 11),,Mac,0:20:48,Not latest view,US (United States)
Charlie,2013-03-16 20:14:27,0:04:59,,The Office (U.S.): Season 4: Night Out (Episode 11),,Mac,0:04:58,Not latest view,US (United States)
Charlie,2013-03-16 19:52:58,0:21:21,,The Office (U.S.): Season 4: The Chair Model (Episode 10),,Mac,0:21:20,Not latest view,US (United States)
Charlie,2013-03-16 19:31:01,0:21:54,,The Office (U.S.): Season 4: Dinner Party (Episode 9),,Mac,0:21:54,Not latest view,US (United States)
Charlie,2013-03-16 19:11:50,0:19:08,,The Office (U.S.): Season 4: The Deposition (Episode 8),,Mac,0:21:11,Not latest view,US (United States)
Charlie,2013-03-16 18:29:58,0:02:06,,The Office (U.S.): Season 4: The Deposition (Episode 8),,Apple iPhone 5 with CDMA,0:02:06,Not latest view,US (United States)
